Nadh is a molecule that helps turn food into energy in the body.	nadh	Explain nadh in plain language to a second grader.
Proteins are important molecules in our bodies. They are made up of smaller molecules called amino acids. Our bodies use proteins to build and repair tissues, make enzymes and hormones, and carry oxygen in our blood.	proteins	Explain proteins in plain language to a second grader.
DNA is a molecule that is found in the cells of all living things. It is responsible for the genetic information that determines how an organism looks and behaves.	dna	Explain dna in plain language to a second grader.
Glycogen is a type of sugar that is stored in the liver and muscles. It is used to provide energy for the body.	glycogen	Explain glycogen in plain language to a second grader.
The endoplasmic reticulum is a network of tubes in the cell that helps to process and move proteins.	endoplasmic reticulum	Explain endoplasmic reticulum in plain language to a second grader.
The Golgi apparatus is a cellular organelle that helps to process and package proteins and lipids for transport within the cell. It is made up of a series of flattened, membranous sacs and is located near the cell nucleus. The proteins and lipids that are processed by the Golgi apparatus are eventually released from the cell in vesicles.	golgi	Explain golgi in plain language to a second grader.
The plasma membrane is a thin layer of tissue that surrounds the cells in our body. It is important because it helps keep the cells in our body healthy and functioning properly.	plasma membrane	Explain plasma membrane in plain language to a second grader.
Lysosomes are tiny sacs inside cells that digest things. They digest food, old cells, and anything else that needs to be broken down.	lysosome	Explain lysosome in plain language to a second grader.
Peroxisomes are tiny organelles in cells that help break down food and get rid of waste.	peroxisomes	Explain peroxisomes in plain language to a second grader.
Mitochondria are tiny organelles in our cells that help us turn food into energy.	mitochondria	Explain mitochondria in plain language to a second grader.
Chloroplasts are organelles in the plant cell that help the plant make food. The chloroplasts have green pigment in them that helps them capture sunlight.	chloroplast	Explain chloroplast in plain language to a second grader.
The cytoskeleton is a network of proteins that helps cells keep their shape and move around.	cytoskeleton	Explain cytoskeleton in plain language to a second grader.
ATP is a molecule that is used to store and release energy in cells.	atp	Explain atp in plain language to a second grader.
NADPH is a molecule that helps the body turn food into energy.	nadph	Explain nadph in plain language to a second grader.
Peroxysomes are tiny sacs in cells that help break down food and get rid of waste.	peroxysome	Explain peroxysome in plain language to a second grader.
Mytochondria are tiny organelles in cells that help turn food into energy.	mytochondria	Explain mytochondria in plain language to a second grader.
Electric forces are what make things stick to magnets. They are also what make things like light bulbs light up.	electric forces	Explain electric forces in plain language to a second grader.
The orbital of a hydrogen electron is a cloud of probability that surrounds the nucleus of the atom. This cloud is shaped like a donut, with the electron located in the hole of the donut.	hydrogen electron's orbital	Explain hydrogen electron's orbital in plain language to a second grader.
The first line of defense in the body is the skin.	first line of defense in the body	Explain first line of defense in the body in plain language to a second grader.
Macrophages are cells in your body that help fight infection. They can also eat other cells that are not working properly or that are damaged.	macrophages	Explain macrophages in plain language to a second grader.
T-helper cells are a type of white blood cell that helps the body fight infection. They help other cells in the body to recognize and fight infection, and they help to control the immune system.	t-helper cells	Explain t-helper cells in plain language to a second grader.
B-lymphocytes are a type of white blood cell that helps the body fight infection. They help the body make antibodies, which are proteins that help the body recognize and fight infections.	b-lymphocytes	Explain b-lymphocytes in plain language to a second grader.
Cytotoxic T-lymphocytes are a type of white blood cell that helps the body fight infection. They can recognize and destroy cells that are infected or cancerous.	cytotoxic t-lymphocytes	Explain cytotoxic t-lymphocytes in plain language to a second grader.
Bacteria are tiny, single-celled organisms that can cause infection and disease. They can invade the body through cuts and wounds, or through the nose and mouth. Once inside the body, bacteria can multiply and cause infection.	invasion of bacterias	Explain invasion of bacterias in plain language to a second grader.
The action potential is a process that happens in the cells of our body that allows us to move and feel things. It starts with a signal from our brain that travels down our spinal cord to the cells in our muscles. This signal causes the cells to open up tiny gates called ion channels. This lets sodium and potassium ions flow into and out of the cells. This creates an electrical current that travels down the muscle and causes it to contract.	action potential	Explain action potential in plain language to a second grader.
Chromatography is a way to separate different substances in a mixture. The mixture is put on a strip of paper, and different substances move through the paper at different speeds. This makes it possible to see which substances are in the mixture and how much of each substance is in the mixture.	experiment of chromatography	Explain experiment of chromatography in plain language to a second grader.
Stars spend most of their lives on the main sequence. This is when they are using hydrogen to create energy. The main sequence lasts for about 10 billion years. When a star uses up all of its hydrogen, it moves off of the main sequence and becomes a red giant or a white dwarf.	main-sequence lifetimes of stars	Explain main-sequence lifetimes of stars in plain language to a second grader.
The nucleus is the center of an atom. It is made up of protons and neutrons.	nucleus	Explain nucleus in plain language to a second grader.
Ribosomes are tiny machines in our cells that help us to grow and stay healthy. They do this by reading the instructions in our DNA to create new proteins.	ribosomes	Explain ribosomes in plain language to a second grader.
The Golgi apparatus is a part of the cell that helps to package and send proteins out to the rest of the cell. It is made up of a series of flattened, curved sacs that help to process and package proteins.	golgi apparatus	Explain golgi apparatus in plain language to a second grader.
Lysosomes are tiny sacs in our cells that digest things. They can digest food, old cells, and other things that our cells don't need anymore.	lysosomes	Explain lysosomes in plain language to a second grader.
The nuclear envelope is a membrane that surrounds the nucleus of a cell. It helps to keep the nucleus organized and protected.	nuclear envelope	Explain nuclear envelope in plain language to a second grader.
A vacuole is a small, round, and clear part of a cell that helps the cell to function.	vacuoles	Explain vacuoles in plain language to a second grader.
The cytoplasm is the jelly-like material inside a cell. It contains the cell's DNA, proteins, and other important molecules.	cytoplasm	Explain cytoplasm in plain language to a second grader.
Chromosomes are tiny things inside our cells that carry our genes.	chromosome	Explain chromosome in plain language to a second grader.
The cytosol is the liquid inside of cells. It contains all of the cell's organelles and helps them to work together.	cytosol	Explain cytosol in plain language to a second grader.
A cell is the smallest unit of life. It is made up of a nucleus, cytoplasm, and plasma membrane.	cell	Explain cell in plain language to a second grader.
A vesicle is a small sac that forms in the cells of the body. It is used to store and release chemicals.	vesicles	Explain vesicles in plain language to a second grader.
Cell walls are like fences that keep cells in place and help them stay organized.	cell wall	Explain cell wall in plain language to a second grader.
Cells are the smallest parts of our bodies. They are like tiny factories that make everything work.	cells	Explain cells in plain language to a second grader.
The cell membrane is a thin layer of material that surrounds a cell. It helps to protect the cell and control what goes in and out.	cell membrane	Explain cell membrane in plain language to a second grader.
The Golgi body is a small organelle in the cell that helps to process and package proteins. It helps to prepare them for transport outside of the cell.	golgi body	Explain golgi body in plain language to a second grader.
Capacitance is the ability of an object to store an electric charge.	capacitance	Explain capacitance in plain language to a second grader.
Electric current is the flow of electricity. Electricity is a type of energy that is created by moving electrons. When electrons flow through a wire, it creates an electric current.	electric current	Explain electric current in plain language to a second grader.
Voltage is a measure of how much electricity is flowing through a wire.	voltage	Explain voltage in plain language to a second grader.
A cell is a small, living thing that is too small to see with the naked eye. Cells are special because they can do many different jobs, depending on what kind of cell they are. For example, a heart cell can beat like a heart, and a skin cell can keep your skin healthy. Cells communicate with each other by sending tiny chemical messages.	specialization and communication in a cell	Explain specialization and communication in a cell in plain language to a second grader.
Kirchoff's Voltage Law states that the sum of the voltages around a closed loop is zero. This means that the voltage at any point in a circuit is the sum of the voltages of the components in the circuit, and that the voltage at any point in a circuit is always the same.	kirchoff's voltage law	Explain kirchoff's voltage law in plain language to a second grader.
A density wave is a wave of energy that travels through a material. The wave can cause the material to change shape or move.	nature of a density wave	Explain nature of a density wave in plain language to a second grader.
Enzymes are proteins that help chemical reactions happen in the body.	enzymes	Explain enzymes in plain language to a second grader.
The human active memory system is a way for people to remember things. It is a system that people use to remember things they have seen, heard, or done.	human active memory system	Explain human active memory system in plain language to a second grader.
