Source	Target	Explanation
courier service	nadh	In case courier service the delivery of message or any other important things can be transported. Here in a cell the NADH would transfer electron along with flavin adenine dinucleotide and will ultimately transport electrons to mitochondria where the cell can harvest the energy stored in the form of electrons.
things that are necessary in daily life	nadh	NADH could be all things that are necessary in daily life, such as shoes, clothes, among others. NADH is necessary to perform several metabolic functions, and all items mentioned above present a similar function in daily life.
corporate hub	proteins	The corporate hub functions for the well being of the cities economy. In the same way proteins serves as a building blocks of a persons body. They are a major source of energy. These are responsible for the structure function and regulation of body tissues.
citizens	proteins	Citizens are in all cities making different activities, as proteins that are in all cells developing different functions.
hard disk of a computer	dna	The hard disk serves as a basis for storage of information. Like a hard disk that stores information the purpose of DNA is to store genetic information and transfer it from one generation to another.
city files	dna	DNA could be the city files where it is possible to find the information of the city, its history, and different information about it.
manufacturing instructions	dna	DNA is a code or instruction for manufacturing proteins or products.
book	dna	Each DNA has some information which is specific to it same way each book has separate information which is present only in it
rechargeable batteries	glycogen	Glycogen stores energy in humans and numerous other species. This stored energy can be utilised for the biogenesis of glucose. Hence it is a perfect example of any energy storage device like rechargeable batteries where a battery can be recharged and the energy can be stored. This stored energy can be utilised for numerous other purpose.
supermarkets	glycogen	Glycogen provides a source of energy and is necessary to perform different metabolic functions in cells. Supermarkets provide food to cook meals.
offices of chiefs of different departments	endoplasmic reticulum	Endoplasmic reticulum could be the offices where chiefs of different departments receive the orders from the major and they delegate these orders to other people. The endoplasmic reticulum (where chiefs are) receives RNA messengers (orders) from the nucleus (major office), which indicates what proteins must be produced. The analogy is that the endoplasmic reticulum receives orders from the nucleus on how to work.
classroom	endoplasmic reticulum	The endoplasmic reticulum is like Classroom because that is where All the work gets completed.
restaurant kitchen	endoplasmic reticulum	Just like restaurant kitchen that produce several different products, Endoplasmic Reticulum produce several substances used within the cell and throughout the body like protein and fat.
industry	endoplasmic reticulum	Both are the site for production of material and after that it is stored there.
offices where people are working in the building of the municipal government	golgi	Golgi could be the offices where people are working in the building of the municipal government, and they organize different activities to support the organization of the city. Golgi receives proteins from the endoplasmic reticulum and delegate them to other places in the cell. In addition, Golgi performs other activities, supporting the cell organization.
edge of the city	plasma membrane	Plasma membrane would be the edge of the city since it separates the inside of cells from the outside.
police station	lysosome	Lysosome can be a police station because it defends cells against virus and bacteria as well as police defends the city of criminals.
hospital	lysosome	Lysosomes degrade everything that enters to the cells, such as viruses and bacteria because of that they can be hospitals.
garbage disposal	lysosome	Breaks down wastes and extra materials by disposing them.
incenerator	lysosome	Lysosome is like the incenerator of the factory where waste is degraded and disposed off.
stomach	lysosome	Both contains digestive enzymes which are used to digest food.
garbage delivery system	peroxisomes	Peroxisomes can protect cells again the oxidations. Peroxisomes could be the garbage delivery system since they support cell maintenance.
restaurants	mitochondria	Mitochondria could be restaurants when you can find food to eat and obtain energy. Restaurants provide prepared food; it is not necessary to cook. It is easy and fast.  Mitochondria produce ATP, which is a molecule where cells can obtain energy in a fast way.
electric station	mitochondria	Mitochondria is like the electric station which provides electric energy to different areas of the factory for daily activities. production site
burger drawers	mitochondria	Mitochondria are the power house of the cell, store energy obtain from food until organelle needs it. Burger drawers store food until it is needed for customer order.
power plant	mitochondria	Light power plant generates energy in the form of electricity. Mitochondria also generates energy in the form of ATP.
food production factory	chloroplast	Chloroplast could be factories where food is produced, such as bread, milk, meat, etc. Photosynthesis is performed in this organelle, where solar energy is used to produce carbohydrates. Both are a source of energy.
solar energy plants	chloroplast	Both capture energy from the sun.
kitchen	chloroplast	Chloroplast is like the kitchen of the factory where food is synthesised.
solar panels	chloroplast	Like solar panels convert solar energy into to another form of energy. In the similar way chloroplast converts solar energy into chemical energy.
street	cytoskeleton	Cytoskeleton would be streets. Cytoskeleton supports the organization of cells and gives the cell shape. Streets have a similar function; they give shape and organization to cities.
metal framework	cytoskeleton	Cytoskeleton is analogous to metal framework, elevator shaft and mail chutes of an old high rise building, which is essential for maintaining the reliability of the cell mechanically as well as imperative for transport and for signaling.
ready to eat food	atp	ATP could be the food ready to eat in the city. ATP provides energy and food is the same for people. It can also be compared to the city lighting system since both provide energy to support all human activities in a city.
charged battery	atp	When a phosphate group is added to ADP, ATP is formed. ADP contains some energy, although not as much as ATP. ADP is similar to an incompletely charged battery which can be fully charged by the adding of phosphate group to it. Subsequently it becomes the fully charged battery, ATP.
money	atp	This is a good analogy because money has "purchasing potential" like ATP has chemical potential energy, cash is also a common way to transfer value that everyone accepts just like ATP is the most frequent way to transfer energy from the covalent bonds in food molecules to the systems that need energy.
bus	nadph	NADPH is similar to a bus, carrying electrons to the Calvin Cycle.
street cleaners	peroxysome	Both work to keep city/cell clean.
power point	mytochondria	Provides energy to give power to the city/cell.
comb and pieces of paper	electric forces	Electric forces are an example of non contact forces. They are exerted by charged bodies. The charged bodies are said to posses an invisible electric field. And it is the interaction of these electric fields that leads to bodies experiencing the electric forces without being in physical contact with each other. As an analogy we will deal with comb and pieces of paper. If we comb our hair when it is dry and bring it near pieces of paper, then the comb will attract the pieces of paper. But if you just simply bring a comb without rubbing it then there is no effect on the pieces of paper. What actually happens here is that, before rubbing the comb, it is electrically neutral, so there is no effect on the pieces of paper, but when we rub it through our dry hair, then the act of rubbing, electrically charges up the comb, as a result of which, there is generation of electric forces. These forces are then responsible for attracting the bits of paper without coming into contact with them.
earth’s atmosphere	hydrogen electron's orbital	The probability map for the hydrogen electron is called an orbital. The probability of finding electron decreases as the distance increases from the nucleus but it never becomes zero even at great distance from nucleus. This description is analogy to the earth’s atmosphere. There is no sharp boundary between the earth’s atmosphere and outer space. The atmosphere fades away gradually, but there are always a few molecules present. Because the edge of an orbital is “fuzzy,” an orbital does not have an exactly defined size. So chemists arbitrarily define its size as the sphere that contains  of the total electron probability. This means that the electron spends  of the time inside this surface and somewhere outside this surface.
police station	first line of defense in the body	The police station itself can be considered as the body of the person. Our human body is provided with skin, mucous membrane, hair, etc which acts as the first line of defense in the form of physical barriers. The walls of the police station resembles the skin, the fencing outside the police station acts as the hairs which becomes analogous to the first line of defense. If a pathogen or disease causing agent enters into the body, it is first detected by the macrophages and the T-helper cells, which are analogous to guards and police inspector.
guards	macrophages	If any criminal tries to enter the body to create nuisance, the guards will try to eliminate him before to avoid any harm.
constables	t-helper cells	Constables record the complaints and on that basis a particular action is taken. Similarly, T-helper cells are responsible for initiating a signalling mechanism in order to mediate the activity of the antibodies which are being synthesized by the B-lymphocytes.
police inspector	b-lymphocytes	B-lymphocytes will try to neutralise the activity of the criminal or pathogens.
action force	cytotoxic t-lymphocytes	Cytotoxic T-lymphocytes which are responsible for pore formation within the cells. If the B-lymphocytes or police inspector is not able to control the pathogen or criminal, a strong action force is needed which will be considered as the Cytotoxic T-lymphocytes. Their activity is to directly terminate the criminal.
colonial invasion in a country	invasion of bacterias	The invasion of bacterias through cracked or injured tissues reminds me of colonial invasion in a country. First they try to find a loop hole to negotiate and place their significant role in the internal machinery of that country and then plan to grow and develop using resources from the host countries. However there is always a rebelion that fights them out sooner or later. Likewise pathogens invade through loop holes of the physical barrier or unhealthy habits and use Host's resources to grow and reproduce. However there are immune systems that help eliminating them sooner or later . When some pathogens are very strong and complicated ,immune system may not be able to eliminate them like strong colonisation upon some very weak country.
assembly line	action potential	Assembly line goes at a fixed speed at all points, can be sped up and down, and has a refractory period before a new item is introduced on it.
two cars taking a day trip	experiment of chromatography	Two cars full of people took a day trip. Car A had a lot of little kids and stopped at lots of rest stops and gas stations to give them a break. Car B had just adults in it, and only stopped once. Of course Car B got to the destination first. we can consider the compounds that are more polar as kids which interact with the polar surface of silica and stops a lot so reach the destination after the less polar compounds which interact less with the polar silica surface hence stop fewer times like an adults car and reach the destination first. So we can say that less polar compounds reach the destination first and then more polar compounds reach.
how long a car can run	main-sequence lifetimes of stars	In the cars, the time of driving a car depends upon the amount of fuel in it and rate of consumption of fuel. The more the fuel in car, more time it travels. if the rate of consumption of fuel is more, it travels for less time. Same in stars, as the mass of star is high, fuel is more. As the luminosity of stars is more than low mass stars, they turn off from the main sequence faster than low mass stars. Their rate of loss of fuel is higher and their lifetime in main sequence is smaller than low mass stars.
school principal	nucleus	Because principal is in charge of what goes on in the school.
factory manager	nucleus	Nucleus can be compared with the manager of the factory which provides instructions for proper functioning, and it is separated from the working area of the factory.
restaurant manager	nucleus	As the manager control all the things happen inside the restaurant, so does the nucleus control what happens inside the cell.
brain	nucleus	Both brain and nucleus controls all the functions of body and cell respectively. Without the permission of brain and nucleus no function can take place.
library	nucleus	As Nucleus have all the information regarding all the gene same way library has many books on different field
school vice-principal	ribosomes	The ribosome is like the vice- Principal because it takes orders from The principal and helps run the School.
hamburger cook	ribosomes	Ribosomes are the site of protein synthesis similar to hamburger are made by cook
machines	ribosomes	Both are used to synthesise materials like proteins in ribosome and cloth in machines.
teacher	golgi apparatus	The Golgi Apparatus is like the Teacher. The teachers helps the Students (endoplasmic reticulum) get their work done.
container boxes	golgi apparatus	Like the materials prepared are packed and managed in the boxes so that it can reach its proper destination. In the similar way proteins are packaged in the Golgi apparatus.
school janitor	lysosomes	The Lysomes is like the school Janitor because they remove all The junk/trash in the school.
school main office	nuclear envelope	The nuclear envelope is like the Main office in the school which Allows people, and materials to Come in and out.
cabinets	vacuoles	The vacuoles is like the cabinets In the school used to store items.
school secretary	cytoplasm	Cytoplasm is like the secretary because they secretary and principal work together just like the nucleus and the cytoplasm.
restaurant floor	cytoplasm	Restaurant floor holds the table, chair and all furniture in proper place. Similarly, cell cytoplasm is a jelly like substance that keep all the organelle in cell at their proper place.
sandwich stuffing	cytoplasm	All the nutrients and ingredients are present in the stuffing of the sandwich. In the similar way all the cell organelle is and nutrients are present in the cytoplasm.
school website	chromosome	The chromosome is like the School website where all of the Information is stored and Transferred.
staff	cytosol	The cytosol is like the staff because They try to encourage the students To do the work.
factory	cell	Cell is like a factory with different sections for proper functioning.The different organelles in the cell can be compared with different sections of a factory.
transportation facility	vesicles	Vesicles help move materials, such as proteins and other molecules, from one part of a cell to another.
factory gate	cell wall	The role of gate of the factory is played by cell wall as the cell has specialized channel for entry and exit.
security guard	cell wall	Like security guard protects the house. In the same manner cell wall protects the cell.
restaurant	cells	cells are made up of parts known as organelle that help cell to function effectively and properly just like restaurant that also require several parts in order to function properly.
restaurant doors	cell membrane	The Cell Membrane controls the permeability of molecule just like the restaurant doors let people in and out of restaurant, Cell Membrane allows or controls what comes in and out of the cell
windows	cell membrane	Like windows allow only some materials to enter the room, In the similar manner cell membrane also allow only some materials to enter into the cell.
skin	cell membrane	The analogy for cell membrane can be skin because the skin surrounds the entire body just like the cell membrane surrounds the entire cell. Both the skin and the cell membrane are semi-permeable, meaning that they only allow specific substances to enter or exit the body.
front counter	golgi body	Front counter employees sort products into bags which are used inside or taken out of the restaurant. Similarly golgi bodies sort and transport substance in vesicles that are used within or discarded outside the cell.
heat content	capacitance	CAPACITANCE means how much Electrical energy can be stored. In heat transfer the Concept is called as 'Heat content'. It means how much heat energy the mass (system) can store. The capacitor discharges energy with time. The same happens in Heat transfer too. For electrical systems, A capacitor stores charge( energy) when a Voltage is applied. Similarly for heat transfer case a Mass is our capacitor which stores Thermal energy under Temperature differance. Let's take an example of Rock which gets hot during day means it stores energy and in night it becomes cool slowly . So the mass of Rock has stored energy in the form of heat energy and discharged at lower temperature.
water tank	electric current	An electric current is a stream of charged particles, such as electrons or ions, moving through an electrical conductor or space. It is measured as the net rate of flow of electric charge through a surface or into a control volume. When describing current, a common analogy is a water tank. In this analogy, charge is represented by the water amount and current is represented by the water flow.
climbing a staircase	voltage	A battery is a set of individual cells in series. Each cell features a electric potential (voltage) across it when charged. Voltage is proportional to the potential energy stored within the battery. If the cells are an equivalent type and at an equivalent state of charge, as they ought to be during a battery of cells, then their voltages are going to be an equivalent. Measuring from one end of the battery, the electric potential changes in steps of 1 cell voltage per cell. This is almost like the way the Potential Energy of a mass changes because it moves from one step to a different on a staircase
football	specialization and communication in a cell	To play the game of football strategically, players are categorized in groups like striker, midfielder, defender, etc. Different groups are specialized to perform different gameplay and still has to communicate between each other to score a goal. Likewise, a cell, is compartmentalized to carry out a diverse range of activity in the most effective way possible. In the process, similar to the game of football, all organelles of the cell are specialized to perform a specific function in the most effecient way. To complete the function, cell use multiple organelles together, so organelles are under constant communication with each other. They perform their job with minimal mistake and also communicate with each other to conduct transcription and translation and other complex activities.
hiking	kirchoff's voltage law	A person goes on a hike. No matter what path they take, if they end at the same location they started, they have walked up hill just as much as they walked down hill. Here as the person comes back to the same location he started ,we can consider his journey as a loop. Here as not the initial and final position is the same there is no change in gravitational patential of the person.This is also because the increment in potential while going uphill is same as decrement in potential while coming downhill. The same thing happens in Kirchoffs Voltage Law. The law states that the algebraic sum of potential differences in any loop must be equal to zero.
