Nadh is like a fever. It is high and it is going to go down.	nadh	Explain nadh using an analogy.
A protein is like a molecule of air. When you breathe in, you get air. When you breathe out, you exhale air. A protein is the same way. When you eat, you get protein. When you exhale, you get nitrogen.	proteins	Explain proteins using an analogy.
Dna is like a blueprint for a person. It is a set of instructions that a cell uses to create a new person.	dna	Explain dna using an analogy.
A glycogen is like a store of energy. When you eat or drink, your body takes in glucose from the blood and uses it to make new glucose. This process is called gluconeogenesis.	glycogen	Explain glycogen using an analogy.
The endoplasmic reticulum is a large, complex structure in the cells that helps store and use nutrients. It is made up of a series of tubes that run from the cell's surface to the inside of the cell.	endoplasmic reticulum	Explain endoplasmic reticulum using an analogy.
Golgi is a type of organelle that is found in the eukaryotic cells. Golgi is responsible for the storage of proteins and other molecules. Golgi is also responsible for the assembly of proteins into larger molecules.	golgi	Explain golgi using an analogy.
A plasma membrane is like a sheet of plastic that separates the cells in a body. The cells inside the plasma membrane are called cells of the cell membrane. The cells outside the plasma membrane are called cells of the extracellular space.	plasma membrane	Explain plasma membrane using an analogy.
A lysosome is a small, round, black organ in the body that helps break down and recycle cells and other materials. Lysosomes are important in the body because they can help to clean up messes and help to prevent diseases.	lysosome	Explain lysosome using an analogy.
A peroxisome is like a container that stores energy. When a molecule of oxygen or another gas is introduced into the peroxisome, it starts to break down the molecule into smaller pieces. This energy is used to help the peroxisome function properly.	peroxisomes	Explain peroxisomes using an analogy.
Mitochondria are like the cells in your body that produce energy. They are small, and they are in the center of your body. They are also very important because they help your body make DNA.	mitochondria	Explain mitochondria using an analogy.
A chloroplast is a type of cell in the plant kingdom that contains chloroplasts. Chloroplasts are unique in that they are able to use light energy to produce organic molecules called chloroplasts.	chloroplast	Explain chloroplast using an analogy.
A cytoskeleton is like a web of thread that helps cells move and interact with one another. The cytoskeleton is made up of proteins and it helps cells stay together and move.	cytoskeleton	Explain cytoskeleton using an analogy.
The body's ability to produce energy is likened to a furnace. The body can use up energy by doing things like breathing, walking, and talking. When the body is at its best, it can use up all of its energy in one go by doing things like running or swimming.	atp	Explain atp using an analogy.
A nadph is like a water droplet. When you suck the air out of a nadph, it creates a vacuum. This vacuum is what makes the nadph work.	nadph	Explain nadph using an analogy.
A peroxisome is like a storage container for energy in the body. When the body needs energy, it stores it in the peroxisome.	peroxysome	Explain peroxysome using an analogy.
A tochondria is a type of cartilage that connects the vertebrae in the neck.	mytochondria	Explain mytochondria using an analogy.
Electric forces are like the wind. They can push and pull things around, but they always have the same power.	electric forces	Explain electric forces using an analogy.
A hydrogen electron's orbital is like a planet's orbit around the sun. The hydrogen electron orbits the nucleus in a very small orbit.	hydrogen electron's orbital	Explain hydrogen electron's orbital using an analogy.
The first line of defense in the body is to protect the heart. The body has four valves that allow blood to flow in and out of the heart. If one of these valves is damaged, the heart can't function properly and can die.	first line of defense in the body	Explain first line of defense in the body using an analogy.
A macrophage is a white blood cell that helps fight infection.	macrophages	Explain macrophages using an analogy.
A t-helper cell is like a traffic light. When you are driving in a traffic jam, you might use a t-helper cell to tell the other drivers to wait their turn. The same is true for cells in the body. When you are sick, you might use a t-helper cell to tell your body to stop making new cells.	t-helper cells	Explain t-helper cells using an analogy.
B-lymphocytes are white blood cells that help fight infection.	b-lymphocytes	Explain b-lymphocytes using an analogy.
A cytotoxic t-lymphocyte is like a bomb that destroys cells. It uses a special type of antibody to identify and kill cells.	cytotoxic t-lymphocytes	Explain cytotoxic t-lymphocytes using an analogy.
An invasion of bacteria is like an invasion of a person. The bacteria are trying to get into the person's body and they are doing this by coming into contact with the person's cells. The bacteria are doing this by trying to make copies of themselves and they are also doing this by trying to get into the person's DNA.	invasion of bacterias	Explain invasion of bacterias using an analogy.
A action potential is like a wave. It starts low and builds up until it reaches its peak. The same is true for a neuron. When a neuron fires, it sends a signal to the brain. The signal can be interpreted in many ways, but one way is that it means the neuron has detected a change in the environment.	action potential	Explain action potential using an analogy.
A chromatography experiment is like a game of catch. You need to catch the ball and throw it to the other team. The ball is made up of many small pieces. You need to catch the small pieces and put them in a bag. Then, you need to throw the bag to the other team and hope they can catch it. The same is happening in a chromatography experiment. You need to catch the small pieces and put them in a bag. Then, you need to throw the bag to the other team and hope they can catch it.	experiment of chromatography	Explain experiment of chromatography using an analogy.
Main-sequence stars are born from the gas and dust in the Milky Way galaxy. Over time, the gas and dust in the star's atmosphere will become heated and will start to emit light. The light from the star will continue to be emitted for a certain amount of time, but eventually the star will die.	main-sequence lifetimes of stars	Explain main-sequence lifetimes of stars using an analogy.
A nucleus is like a small, dark, round object in a room. The object is made up of many small, dark, round objects. The object is the center of the room.	nucleus	Explain nucleus using an analogy.
Ribosomes are like the machines that make up your body. They are like the machines that make up your DNA. They are like the machines that make up your proteins.	ribosomes	Explain ribosomes using an analogy.
The golgi apparatus is a type of organelle that is found in the eukaryotic cells. It is a small, round, white, spindle-shaped structure that is found in the center of a cell. Golgi apparatus contains the proteins that are responsible for the cell's growth and division.	golgi apparatus	Explain golgi apparatus using an analogy.
A lysosome is a storage container for food that is used to break down food proteins into their component amino acids. Lysosomes are also used to recycle cells and tissues.	lysosomes	Explain lysosomes using an analogy.
A nuclear envelope is like a envelope that a bomb might be put in. The bomb has a lot of explosives in it, and when it goes off, the explosives make a big noise. The nuclear envelope is the same way. When a nuclear bomb goes off, the nuclear bomb's explosives make a big noise, and the nuclear envelope is the same way.	nuclear envelope	Explain nuclear envelope using an analogy.
A vacuole is a small, empty space in a body that is used to store food. When a person eats, the stomach and small intestine empty the food into the vacuole.	vacuoles	Explain vacuoles using an analogy.
A cytoplasm is like a container for a cell's cells. The cells live in the cytoplasm and use the energy from the cell's cells to make proteins.	cytoplasm	Explain cytoplasm using an analogy.
A chromosome is like a piece of paper. Each chromosome has a specific location on it. The location of a chromosome is determined by the location of the genetic material that makes up that chromosome.	chromosome	Explain chromosome using an analogy.
A cytosol is like a container for cells. It is made up of a variety of cells and molecules.	cytosol	Explain cytosol using an analogy.
A cell is like a person. A cell contains the genetic instructions for making a person.	cell	Explain cell using an analogy.
A vesicle is like a small opening in a container that allows gas to escape.	vesicles	Explain vesicles using an analogy.
A cell wall is like a fence around a house. It keeps the inside of the house clean and the outside clean. The cell wall is the same way. It keeps the inside of the cell clean and the outside clean.	cell wall	Explain cell wall using an analogy.
A cell is like a person. A cell contains the genetic instructions for making a person.	cells	Explain cells using an analogy.
A cell's membrane is like a door that separates the inside of the cell from the outside world. The cell's membrane is made of a material that helps the cell to keep its water and other nutrients inside and the oxygen and other gases outside.	cell membrane	Explain cell membrane using an analogy.
Golgi body is a type of body found in the eukaryotic cells. Golgi body is responsible for the packaging of proteins and other molecules.	golgi body	Explain golgi body using an analogy.
A capacitor is like a balloon. When you fill it with air, the air pressure inside the balloon is greater than the atmospheric pressure outside the balloon. This is because the capacitor has a higher capacitance than a metal plate. When you touch the capacitor, the electric field between the capacitor and your skin creates a voltage. This voltage is proportional to the capacitance of the capacitor.	capacitance	Explain capacitance using an analogy.
Electric current is like a flow of water. It is a way to move something around.	electric current	Explain electric current using an analogy.
A voltage is like a current. It flows through a wire and is measured in amps.	voltage	Explain voltage using an analogy.
In a cell, specialization and communication are important because it allows the cell to function as a unit. This is important because the cell is the smallest unit in the body and it is important for the cell to function properly.	specialization and communication in a cell	Explain specialization and communication in a cell using an analogy.
A voltage is like a current. It flows in one direction and then back out the other. The direction of the current is determined by the voltage that is applied to the object. The voltage law states that the current in a resistor is inversely proportional to the voltage applied to it.	kirchoff's voltage law	Explain kirchoff's voltage law using an analogy.
A density wave is like a waveform in a seismograph. When you listen to a density wave, you can hear the sound of the waves crashing together. The sound is like the sound of waves hitting a rock. The density wave is like the waveform in a seismograph because it is a representation of how many objects are in a particular place.	nature of a density wave	Explain nature of a density wave using an analogy.
Enzymes are like machines that catalyze chemical reactions. They can do this by breaking down the substrate (a molecule that the enzyme is trying to convert into a product) into two or more component molecules.	enzymes	Explain enzymes using an analogy.
A human's active memory system is like a computer's hard drive. The hard drive stores the data that the computer uses to process information. The hard drive also stores pictures, music, and videos. The computer can access the data that is on the hard drive by reading the data from the hard drive and then using the data to process the information.	human active memory system	Explain human active memory system using an analogy.
The rate-determining step in a reaction is the step that determines how quickly the reaction will occur. This step is usually a chemical reaction between two molecules, and it depends on the speed of the reaction, the concentration of the reactants, and the temperature.	rate-determining step of a reaction	Explain rate-determining step of a reaction using an analogy.
Column chromatography is a process of separating substances by their ability to pass through a material in a specific order. The substances are usually separated by size, shape, or other factors.	column chromatography	Explain column chromatography using an analogy.
A dynamic chemical equilibrium is like a balance in a kitchen. When the ingredients in a dish are all in the same place and their concentrations are right, the dish will be in equilibrium. When one ingredient changes its concentration, the dish will change its equilibrium.	dynamic chemical equilibrium	Explain dynamic chemical equilibrium using an analogy.
A vacuole is a small, round, white, fluid-filled structure in the cells of the body. It is responsible for the recycling of nutrients and the storage of waste.	vacuole	Explain vacuole using an analogy.
A transport vesicle is like a water droplet. When you suck the air out of the vesicle, it becomes smaller and more dense. This is what happens when you suck the energy out of a battery.	transport vesicles	Explain transport vesicles using an analogy.
Proto-oncogenes are genes that have the potential to cause cancer.	proto-oncogenes	Explain proto-oncogenes using an analogy.
Oncogenes are genes that are responsible for the development of a particular type of cancer.	oncogenes	Explain oncogenes using an analogy.
Tumor suppressor genes are like a garden variety of plants. They have a variety of roles in the body, but they all play a part in controlling the growth and spread of tumors. Some tumor suppressor genes are responsible for controlling the production of tumor-causing proteins, while others help to control the expression of tumor-causing genes.	tumor suppressor genes	Explain tumor suppressor genes using an analogy.
A brittle software system is like a house that is constantly being hit by a gust of wind. The house is not going to hold up very long if it is hit by a lot of wind. The same is true for software systems. If a software system is hit by a lot of different factors, it is going to fail eventually.	brittle software	Explain brittle software using an analogy.
A resonant frequency is the frequency at which a particular type of wave, such as a sound, can be heard back again. This is because the waves that make up sound have a specific resonance, or pattern of peaks and valleys, that can be heard again and again.	resonance hybrid	Explain resonance hybrid using an analogy.
A wave is like a waveform. A waveform is a collection of waves that have been combined together to create a single entity. A wave is created when sound waves are combined together. The sound waves are then amplified and sent out into the world.	wave mechanical model	Explain wave mechanical model using an analogy.
