Nadh is a term used to describe the experience of being in a state of ecstasy.	nadh	What analogy is used to explain nadh?
A protein is like a molecule of DNA.	proteins	What analogy is used to explain proteins?
DNA is analogy used to explain how genetic information is stored in chromosomes.	dna	What analogy is used to explain dna?
A glycogen analogy would be to compare glycogen to a store of energy.	glycogen	What analogy is used to explain glycogen?
The endoplasmic reticulum is a type of cell membrane that helps store and use nutrients in the body.	endoplasmic reticulum	What analogy is used to explain endoplasmic reticulum?
Golgi is an analogy used to explain the structure of proteins.	golgi	What analogy is used to explain golgi?
A plasma membrane is a type of cell membrane that is found in cells.	plasma membrane	What analogy is used to explain plasma membrane?
A lysosome is an organelle in the cell that stores and releases enzymes.	lysosome	What analogy is used to explain lysosome?
Peroxisomes are like the lungs in that they are responsible for the production of oxygen and carbon dioxide.	peroxisomes	What analogy is used to explain peroxisomes?
Mitochondria are like the cells in your body that produce energy.	mitochondria	What analogy is used to explain mitochondria?
A chloroplast is an organelle in the cell that stores water and carbon dioxide.	chloroplast	What analogy is used to explain chloroplast?
A cytoskeleton analogy would be like a skeleton that is made up of bones. The cytoskeleton helps the cells move and stay in place.	cytoskeleton	What analogy is used to explain cytoskeleton?
The atp is a unit of energy that is used to measure the speed of an athlete.	atp	What analogy is used to explain atp?
Nadph is a gas that is produced when water is heated up.	nadph	What analogy is used to explain nadph?
A peroxysome is a type of organelle in the cell that stores energy and can release it in response to a variety of stimuli.	peroxysome	What analogy is used to explain peroxysome?
The cartilage in the neck is analogous to the tochondria.	mytochondria	What analogy is used to explain mytochondria?
Electric forces are like the wind. They can push and pull things around.	electric forces	What analogy is used to explain electric forces?
The analogy used to explain hydrogen electron's orbital is the orbit of a planet around the sun.	hydrogen electron's orbital	What analogy is used to explain hydrogen electron's orbital?
A first line of defense in the body is to protect the heart.	first line of defense in the body	What analogy is used to explain first line of defense in the body?
A macrophage is an important cell in the body that helps clean up and remove debris from the body.	macrophages	What analogy is used to explain macrophages?
A t-helper cell is a type of cell that helps to support the growth of other cells.	t-helper cells	What analogy is used to explain t-helper cells?
B-lymphocytes are similar to white blood cells in that they are responsible for fighting infection.	b-lymphocytes	What analogy is used to explain b-lymphocytes?
A cytotoxic t-lymphocyte is like a bomb that destroys cells.	cytotoxic t-lymphocytes	What analogy is used to explain cytotoxic t-lymphocytes?
 Invasion of bacterias typically refers to the spread of a pathogen from one person to another.	invasion of bacterias	What analogy is used to explain invasion of bacterias?
A action potential is an electrical impulse that occurs in the brain and spinal cord.	action potential	What analogy is used to explain action potential?
A chromatography experiment is typically described as a process of separating different types of molecules by their ability to pass through a material, such as a filter.	experiment of chromatography	What analogy is used to explain experiment of chromatography?
main-sequence lifetimes of stars are typically around 100 million years.	main-sequence lifetimes of stars	What analogy is used to explain main-sequence lifetimes of stars?
Nucleus is the smallest particle in the atom.	nucleus	What analogy is used to explain nucleus?
Ribosomes are like the machines that make up the body's DNA.	ribosomes	What analogy is used to explain ribosomes?
Golgi apparatus is an analogy used to explain the structure of the brain.	golgi apparatus	What analogy is used to explain golgi apparatus?
A lysosome is an organelle in the cell that stores and releases enzymes.	lysosomes	What analogy is used to explain lysosomes?
The nuclear envelope is the outermost layer of the human body. It is made up of the skin, the hair, the nails, and the blood vessels.	nuclear envelope	What analogy is used to explain nuclear envelope?
A vacuole is a small, round, orifice in a body that allows gas to escape and is used to store food.	vacuoles	What analogy is used to explain vacuoles?
cytoplasm is like a container for cells.	cytoplasm	What analogy is used to explain cytoplasm?
A chromosome is an essential part of the cell and is responsible for the production of genetic information.	chromosome	What analogy is used to explain chromosome?
A cytosol is a clear, water-like solution that is found in cells and tissues.	cytosol	What analogy is used to explain cytosol?
Cell is an analogy used to explain the way cells work. Cells are like small, individual machines that can create and destroy molecules.	cell	What analogy is used to explain cell?
A vesicle is a small, round, orifice through which a liquid or gas can escape.	vesicles	What analogy is used to explain vesicles?
Cell wall is a type of cell membrane that separates the cells of a plant or animal.	cell wall	What analogy is used to explain cell wall?
A cell is like a person. Cells are small and have a lot of energy.	cells	What analogy is used to explain cells?
Cell membrane is like a sheet of paper that is used to keep the cells inside the body and the outside world separated.	cell membrane	What analogy is used to explain cell membrane?
Golgi body is an analogy used to explain the structure of the brain.	golgi body	What analogy is used to explain golgi body?
Capacitance is the measure of how much electricity is stored in a capacitor.	capacitance	What analogy is used to explain capacitance?
Electric current is likened to a flow of water.	electric current	What analogy is used to explain electric current?
A voltage is like a current.	voltage	What analogy is used to explain voltage?
A cell is like a group of people who are all working together to do a task.	specialization and communication in a cell	What analogy is used to explain specialization and communication in a cell?
The voltage law is an analogy used to explain Kirchoff's law. Kirchoff's law states that the voltage in a conductor is inversely proportional to the current in the conductor.	kirchoff's voltage law	What analogy is used to explain kirchoff's voltage law?
A density wave is like a waveform that is made up of a lot of small waves.	nature of a density wave	What analogy is used to explain nature of a density wave?
Enzymes are like machines that catalyze chemical reactions.	enzymes	What analogy is used to explain enzymes?
The human active memory system is similar to a computer's memory.	human active memory system	What analogy is used to explain human active memory system?
