Nadh is like a battery. It is a molecule that helps store energy in cells.	nadh	Using an analogy, explain nadh.
Proteins are like the bricks in a wall. They are the main structural component of the cell and are responsible for most of the cell's functions.	proteins	Using an analogy, explain proteins.
DNA is like a set of instructions for building a person. It is a blueprint for the body.	dna	Using an analogy, explain dna.
Glycogen is like a battery in your body. It is a storage form of glucose, which is the body's main source of energy. Glucose is stored in the liver and muscles in the form of glycogen. When the body needs energy, glycogen is converted back to glucose and used to power the body's cells.	glycogen	Using an analogy, explain glycogen.
Endoplasmic reticulum is like a factory inside the cell. It makes proteins and other important molecules.	endoplasmic reticulum	Using an analogy, explain endoplasmic reticulum.
Golgi is like a post office. It is responsible for receiving packages (vesicles) from different parts of the cell, sorting them, and then sending them off to their appropriate destinations.	golgi	Using an analogy, explain golgi.
The plasma membrane is like a fence. It is a thin layer of cells that surrounds the cells in your body. The plasma membrane is important because it helps keep the cells in your body healthy. It also helps to keep the good things in your body, like food and water, and it keeps the bad things out, like bacteria.	plasma membrane	Using an analogy, explain plasma membrane.
Lysosomes are like the garbage cans of the cell. They are small sacs that contain enzymes that break down proteins, lipids, and nucleic acids. This process is called degradation and it helps to recycle these molecules back into the cell. Lysosomes also help to get rid of damaged or old cells.	lysosome	Using an analogy, explain lysosome.
Peroxisomes are like the recycling center of the cell. They recycle old or damaged proteins, lipids, and carbohydrates.	peroxisomes	Using an analogy, explain peroxisomes.
Mitochondria are like the batteries in a car. They provide the energy that the car needs to run. In the same way, mitochondria provide the energy that cells need to run.	mitochondria	Using an analogy, explain mitochondria.
Chloroplasts are like the lungs of a plant. They take in carbon dioxide from the air and release oxygen. They also use sunlight to convert carbon dioxide and water into glucose and oxygen.	chloroplast	Using an analogy, explain chloroplast.
The cytoskeleton is like the scaffolding of a building. It helps to hold the cells together and gives them their shape. It also helps to move things around inside the cell.	cytoskeleton	Using an analogy, explain cytoskeleton.
ATP is like the gasoline that powers a car. It is used to provide energy for the cells in the body.	atp	Using an analogy, explain atp.
NADPH is like the gas pedal in a car. It helps the cell use energy from food to do things like make new proteins.	nadph	Using an analogy, explain nadph.
Peroxysomes are like the recycling centers of the cell. They recycle old or damaged proteins, lipids, and carbohydrates.	peroxysome	Using an analogy, explain peroxysome.
Mytochondria are like the batteries in a car. They store energy and provide power to the cells.	mytochondria	Using an analogy, explain mytochondria.
Electric forces are like magnets. They are both forces that attract or repel objects.	electric forces	Using an analogy, explain electric forces.
A hydrogen electron's orbital can be thought of as a circular race track. The electron can travel around the track at different speeds, depending on how much energy it has. The higher the energy, the faster the electron can travel. The electron can also move up and down the track, depending on how much energy it has. The higher the energy, the higher the electron can travel.	hydrogen electron's orbital	Using an analogy, explain hydrogen electron's orbital.
The first line of defense in the body is the skin. The skin is a barrier that protects the body from outside invaders. The skin also helps to regulate the body's temperature.	first line of defense in the body	Using an analogy, explain first line of defense in the body.
Macrophages are like the police of the body. They are the first responders when there is an infection or injury. They go to the scene and try to clean up the mess.	macrophages	Using an analogy, explain macrophages.
T-helper cells are like the generals of the immune system. They are responsible for directing the other cells of the immune system to fight off infection. They produce cytokines, which are proteins that help to regulate the immune response.	t-helper cells	Using an analogy, explain t-helper cells.
B-lymphocytes are like the body's police force. They patrol the body and look for anything that is not supposed to be there. When they find something, they destroy it.	b-lymphocytes	Using an analogy, explain b-lymphocytes.
Cytotoxic T-lymphocytes are like a sniper. They are very precise and can kill specific cells without harming the rest of the body.	cytotoxic t-lymphocytes	Using an analogy, explain cytotoxic t-lymphocytes.
If you think of your body as a house, then the bacteria are like the ants that you see marching around on the kitchen counter. In small numbers, they're not a big deal, but if they invade in large numbers, they can be a real nuisance. And just like you might take steps to get rid of the ants in your house, you might take steps to get rid of the bacteria in your body.	invasion of bacterias	Using an analogy, explain invasion of bacterias.
Action potential is like a wave that travels down an electric wire. The wave is created when a small electric current flows through the wire. This current is called a "pulse." The pulse travels down the wire and causes the voltage (electric potential energy) to increase. When the voltage reaches a certain level, it causes the gates of the nerve cells to open. This allows sodium ions to flow into the cells. The sodium ions cause the voltage to increase even more. This creates a new pulse, which travels down the wire and causes more gates to open. This process continues until the pulse reaches the end of the wire.	action potential	Using an analogy, explain action potential.
Chromatography is like a funnel. The different colors of ink (or whatever you are testing) are like the different colors of raindrops. The white paper is like the ground. The ink runs down the paper and the different colors are separated by how fast they flow.	experiment of chromatography	Using an analogy, explain experiment of chromatography.
