Nadh is like a battery. It is a molecule that helps store energy in the body.	nadh	What analogy is used to explain nadh?
A protein is like a Lego block. It is made up of smaller pieces that fit together to create a larger whole.	proteins	What analogy is used to explain proteins?
DNA is like a set of instructions for a recipe.	dna	What analogy is used to explain dna?
A glycogen molecule is like a string of beads. The beads are the glucose molecules and the string is the glycogen molecule.	glycogen	What analogy is used to explain glycogen?
Endoplasmic reticulum is like a factory inside the cell. It makes proteins and other important chemicals.	endoplasmic reticulum	What analogy is used to explain endoplasmic reticulum?
A golgi apparatus is like a post office. It receives packages (vesicles) from different parts of the cell, processes them, and sends them out to other parts of the cell.	golgi	What analogy is used to explain golgi?
A plasma membrane is like a brick wall. The bricks are the cells and the mortar is the plasma membrane.	plasma membrane	What analogy is used to explain plasma membrane?
Lysosomes are like the stomachs of the cells. They digest things that the cell needs to use.	lysosome	What analogy is used to explain lysosome?
Peroxisomes are likened to a recycling center where damaged cells can go to be broken down and their parts reused.	peroxisomes	What analogy is used to explain peroxisomes?
The analogy of mitochondria is that they are like the batteries in a car. They provide the energy that the car needs to run. In the same way, mitochondria provide the energy that the cells need to run.	mitochondria	What analogy is used to explain mitochondria?
A chloroplast is like a small factory inside a plant cell. It makes food for the plant using sunlight and water.	chloroplast	What analogy is used to explain chloroplast?
The cytoskeleton is often compared to the scaffolding of a building. Just as the scaffolding holds up the building while it is under construction, the cytoskeleton supports and maintains the shape of the cell.	cytoskeleton	What analogy is used to explain cytoskeleton?
Atp is like a battery that provides energy for the cell.	atp	What analogy is used to explain atp?
NADPH is like a rechargeable battery. It can be used over and over again to help produce energy.	nadph	What analogy is used to explain nadph?
A peroxysome is like a small factory inside a cell. It takes in raw materials, manufactures products, and exports them out of the cell.	peroxysome	What analogy is used to explain peroxysome?
Mytochondria are like the batteries in a car. They store energy so the car can run.	mytochondria	What analogy is used to explain mytochondria?
Electric forces are like magnets.	electric forces	What analogy is used to explain electric forces?
A hydrogen electron's orbital is like a planet orbiting around the sun.	hydrogen electron's orbital	What analogy is used to explain hydrogen electron's orbital?
A first line of defense in the body is like a castle with a moat. The castle is the body and the moat is the skin. The skin is the first line of defense and it protects the body from bacteria and other things that could make the body sick.	first line of defense in the body	What analogy is used to explain first line of defense in the body?
A macrophage is like a vacuum cleaner. It sucks up all the dirt and debris in the area.	macrophages	What analogy is used to explain macrophages?
A T-helper cell is like a quarterback on a football team. The quarterback is not the one who runs with the ball, but he is the one who tells the other players what to do. T-helper cells are not the ones who attack the virus, but they tell the other cells what to do.	t-helper cells	What analogy is used to explain t-helper cells?
B-lymphocytes are like soldiers in an army. They are able to recognize and attack specific targets, such as bacteria or viruses.	b-lymphocytes	What analogy is used to explain b-lymphocytes?
A cytotoxic t-lymphocyte is like a sniper. It is very precise and can kill only the specific target that it is aiming for.	cytotoxic t-lymphocytes	What analogy is used to explain cytotoxic t-lymphocytes?
The analogy of bacteria is that of an army invading a country. The bacteria are the invaders and the body is the country. The bacteria can invade through any opening, such as the mouth, nose, or skin. Once they are inside, they can spread throughout the body and cause infection.	invasion of bacterias	What analogy is used to explain invasion of bacterias?
A neuron is like a rubber band. When you stretch a rubber band, it will recoil back to its original shape. When you stimulate a neuron, it will fire an action potential that will travel down the neuron until it reaches the end.	action potential	What analogy is used to explain action potential?
A good analogy to explain chromatography is to think of it as a kind of "sorting" process. In chromatography, different substances are separated according to their chemical properties. So, in a sense, chromatography can be thought of as a way of sorting different substances into different "piles."	experiment of chromatography	What analogy is used to explain experiment of chromatography?
A star's life is like a human's life. A star is born, it lives a middle-aged life, and then it dies.	main-sequence lifetimes of stars	What analogy is used to explain main-sequence lifetimes of stars?
