Nadh is like a battery. It is a molecule that helps store energy in cells.	nadh	Use an analogy to explain nadh.
Proteins are like the bricks in a wall. The bricks are the protein and the mortar is the protein's surrounding environment.	proteins	Use an analogy to explain proteins.
DNA is like a set of instructions for a recipe. The recipe is for a cake, and the ingredients and instructions are written down in a book. The DNA is like the book, and the recipe is like the instructions. The ingredients are the chemicals that make up the DNA, and the instructions are the sequence of letters that make up the DNA.	dna	Use an analogy to explain dna.
Glycogen is like a battery in your body. It is a storage form of glucose, which is the body's main source of energy. Glucose is stored in the liver and muscles in the form of glycogen. When the body needs energy, glycogen is converted back to glucose and used to power the body's cells.	glycogen	Use an analogy to explain glycogen.
Endoplasmic reticulum is like a factory inside the cell. It makes proteins and other important molecules.	endoplasmic reticulum	Use an analogy to explain endoplasmic reticulum.
Golgi is like a post office. It takes packages (vesicles) from one part of the cell and delivers them to another part of the cell.	golgi	Use an analogy to explain golgi.
A plasma membrane is like a brick wall. The bricks are the cells and the mortar is the plasma membrane. The cells are held together by the plasma membrane and the plasma membrane is held together by the mortar.	plasma membrane	Use an analogy to explain plasma membrane.
Lysosomes are like the garbage cans of the cell. They are filled with enzymes that break down proteins, lipids, and nucleic acids. This helps to recycle these molecules and make new ones.	lysosome	Use an analogy to explain lysosome.
Peroxisomes are like the recycling center of the cell. They recycle old or damaged proteins, lipids, and carbohydrates.	peroxisomes	Use an analogy to explain peroxisomes.
Mitochondria are like the batteries in a car. They provide the energy that the car needs to run.	mitochondria	Use an analogy to explain mitochondria.
Chloroplasts are like the lungs of a plant. They take in carbon dioxide from the air and release oxygen.	chloroplast	Use an analogy to explain chloroplast.
The cytoskeleton is like the scaffolding of a building. It provides support to the cells and helps them to maintain their shape.	cytoskeleton	Use an analogy to explain cytoskeleton.
Atp is like the gasoline that powers a car. It is used to help the car's engine run.	atp	Use an analogy to explain atp.
NADPH is like the gas pedal in a car. It helps the car go faster.	nadph	Use an analogy to explain nadph.
Peroxysomes are like the recycling plant of the cell. They recycle old or damaged proteins, lipids, and carbohydrates.	peroxysome	Use an analogy to explain peroxysome.
Mytochondria are like the batteries in a car. They store energy and provide power to the rest of the car. Mytochondria are found in the cells of muscles and they provide energy for muscle movement.	mytochondria	Use an analogy to explain mytochondria.
Electric forces are like magnets. Magnets have two poles, a north pole and a south pole. If you have two magnets and you bring the north poles together, they will repel each other. If you bring the south poles together, they will attract each other. Electric forces work the same way. If you have two positively charged particles, they will repel each other. If you have two negatively charged particles, they will attract each other.	electric forces	Use an analogy to explain electric forces.
A hydrogen electron's orbital is like a planet orbiting around the sun. The electron is constantly moving around the nucleus in a circular path.	hydrogen electron's orbital	Use an analogy to explain hydrogen electron's orbital.
The first line of defense in the body is like a wall of soldiers standing guard. They are the first line of defense and are always ready to protect the body from any harm.	first line of defense in the body	Use an analogy to explain first line of defense in the body.
Macrophages are like the garbage collectors of the immune system. They are scavengers that eat up debris, bacteria, and other unwanted materials.	macrophages	Use an analogy to explain macrophages.
A t-helper cell is like a quarterback on a football team. The quarterback is not the one who runs with the ball, but he is the one who directs the players on the field. He tells them where to go and what to do. The t-helper cell is like the quarterback of the immune system. It directs the other cells in the immune system to fight off infection.	t-helper cells	Use an analogy to explain t-helper cells.
B-lymphocytes are like the body's police force. They patrol the body and look for anything that is not supposed to be there. When they find something, they attack it and try to get rid of it.	b-lymphocytes	Use an analogy to explain b-lymphocytes.
Cytotoxic T-lymphocytes are like a sniper. They are very precise and can kill specific cells without harming the rest of the body.	cytotoxic t-lymphocytes	Use an analogy to explain cytotoxic t-lymphocytes.
Bacteria are like tiny little soldiers that invade your body to try to take over. They are very small and can easily get into your body through cuts or openings. Once they are in your body, they can start to multiply and can cause infection.	invasion of bacterias	Use an analogy to explain invasion of bacterias.
Action potential is like a wave that travels down a rope. When someone pulls on one end of the rope, the wave travels down the rope to the other end. The same thing happens with an action potential. When the neuron is stimulated, the action potential travels down the neuron to the end.	action potential	Use an analogy to explain action potential.
Chromatography is like a funnel. The smaller molecules flow through the funnel faster than the larger molecules. This is because the smaller molecules have more surface area in contact with the funnel than the larger molecules.	experiment of chromatography	Use an analogy to explain experiment of chromatography.
A star's life can be thought of as a marathon. The main sequence is the part of the race where the star is running at its fastest. The main sequence is the star's "prime" and it will spend most of its life there. As the star ages, it gradually slows down and moves out of the main sequence.	main-sequence lifetimes of stars	Use an analogy to explain main-sequence lifetimes of stars.
Nucleus is like the brain of a cell. It controls all the activities of the cell and directs the cell's growth and reproduction.	nucleus	Use an analogy to explain nucleus.
Ribosomes are like the construction workers of the cell. They build the proteins that the cell needs.	ribosomes	Use an analogy to explain ribosomes.
The Golgi apparatus is like a post office. It receives packages (vesicles) from different parts of the cell, processes them, and sends them off to their destinations.	golgi apparatus	Use an analogy to explain golgi apparatus.
Lysosomes are like the stomachs of cells. They digest and break down old or damaged proteins, lipids, and nucleic acids.	lysosomes	Use an analogy to explain lysosomes.
Nuclear envelope can be thought of as a protective sheath that surrounds the nucleus of a cell. It is made up of two membranes, the outer nuclear membrane and the inner nuclear membrane, which are each studded with proteins. The nuclear envelope helps to keep the nucleus and its contents safe and protected from the rest of the cell.	nuclear envelope	Use an analogy to explain nuclear envelope.
A vacuole is like a balloon. It is a small, round, and thin sac that is filled with a gas or fluid.	vacuoles	Use an analogy to explain vacuoles.
Cytoplasm is like the blood in our veins. It is the fluid that fills the cells and provides them with the nutrients they need to survive. It also helps to carry waste products away from the cells.	cytoplasm	Use an analogy to explain cytoplasm.
Chromosomes are like books in a library. They are organized in a specific way and have specific information in them.	chromosome	Use an analogy to explain chromosome.
Cytosol is like the blood in our veins. It is a fluid that fills the cells and provides a medium for the transport of nutrients and waste products.	cytosol	Use an analogy to explain cytosol.
A cell is like a small city. It has a mayor, a police force, a fire department, and many other important functions.	cell	Use an analogy to explain cell.
A vesicle is like a small balloon. It is filled with a liquid or gas and has a thin membrane that separates it from the surrounding area.	vesicles	Use an analogy to explain vesicles.
A cell wall is like the skin of a balloon. It is a thin layer of material that surrounds and protects the balloon.	cell wall	Use an analogy to explain cell wall.
Cells are like the bricks that make up a house. The cells are the basic unit that make up all living things.	cells	Use an analogy to explain cells.
A cell membrane is like a brick wall. The bricks are the cells and the mortar is the cell membrane. The cells are held together by the cell membrane and the cell membrane is held together by the mortar.	cell membrane	Use an analogy to explain cell membrane.
The Golgi body is like a post office. It receives packages (vesicles) from different parts of the cell and sorts them according to their destination. It then sends them on their way to the correct destination.	golgi body	Use an analogy to explain golgi body.
A capacitor is like a water tank. It has a certain capacity, just like a tank has a certain capacity. The more water you put in the tank, the more weight it has. The more capacitance a capacitor has, the more charge it can store.	capacitance	Use an analogy to explain capacitance.
Electric current is like water flowing through a hose. The water pressure (voltage) is like the water pressure in the hose. The amount of water flowing through the hose (amperage) is like the amount of current flowing through the wire.	electric current	Use an analogy to explain electric current.
Voltage is like water pressure. Just as water pressure can cause a faucet to spout water, voltage can cause an electric current to flow.	voltage	Use an analogy to explain voltage.
A cell is like a small city. The cell has a mayor, police officers, construction workers, and teachers. The mayor is the cell's leader and is responsible for making sure the cell functions properly. The police officers are responsible for keeping the cell safe and preventing crime. The construction workers are responsible for building and repairing the cell's infrastructure. The teachers are responsible for teaching the cell's residents new information. Each of these workers specializes in their own area of expertise and they all communicate with each other to make sure the cell runs smoothly.	specialization and communication in a cell	Use an analogy to explain specialization and communication in a cell.
Kirchoff's voltage law is similar to the law of conservation of energy. Just as energy can neither be created nor destroyed, the voltage around a closed loop in an electrical circuit must be the same.	kirchoff's voltage law	Use an analogy to explain kirchoff's voltage law.
A density wave is like a group of people walking through a crowd. The people are all moving at the same speed and in the same direction. The people in the back of the group are moving faster than the people in the front of the group.	nature of a density wave	Use an analogy to explain nature of a density wave.
Enzymes are like tiny machines that help chemical reactions happen in the body. They are made of proteins and they work by fitting into the spaces around the molecules they are working on. This helps the molecules move around and react with each other.	enzymes	Use an analogy to explain enzymes.
The human active memory system is like a computer. The computer has a hard drive which stores all of the information that is on the computer. The computer also has random access memory (RAM) which stores the information that is currently being used by the computer. The human active memory system also has a hard drive which stores all of the information that is in the human active memory system. The human active memory system also has RAM which stores the information that is currently being used by the human active memory system.	human active memory system	Use an analogy to explain human active memory system.
The rate-determining step of a reaction is the slowest step in the reaction. This step is responsible for controlling the rate of the reaction.	rate-determining step of a reaction	Use an analogy to explain rate-determining step of a reaction.
Column chromatography is like a giant kitchen strainer. The solvent is poured through the column, and the compounds in the sample are separated as they move through the column. The compounds that are smaller than the pores in the column move through the column more quickly than the compounds that are larger than the pores.	column chromatography	Use an analogy to explain column chromatography.
Dynamic chemical equilibrium is like a see-saw. The two ends of the see-saw are in balance, but the see-saw can be moved up and down. The two ends of the see-saw represent the two states of the chemical reaction (reactants and products). The see-saw can be moved up and down by adding or removing reactants and products.	dynamic chemical equilibrium	Use an analogy to explain dynamic chemical equilibrium.
A vacuole is like a balloon. It is a small, round, and thin sac that is filled with a gas or fluid.	vacuole	Use an analogy to explain vacuole.
A transport vesicle is like a bus. It transports things (in this case, proteins) from one place to another.	transport vesicles	Use an analogy to explain transport vesicles.
Proto-oncogenes are like the spark plugs in a car. They are responsible for starting the engine and making it run. In the same way, proto-oncogenes are responsible for starting the cancer process and making it run.	proto-oncogenes	Use an analogy to explain proto-oncogenes.
Oncogenes are like a cancerous tumor. They are normal genes that have been turned into cancer-causing genes.	oncogenes	Use an analogy to explain oncogenes.
Tumor suppressor genes are like the brakes on a car. They help to keep the cells in check and stop them from growing and dividing too quickly.	tumor suppressor genes	Use an analogy to explain tumor suppressor genes.
Brittle software is like a glass figurine. It looks beautiful and fragile from a distance, but when you try to touch it, it shatters into pieces.	brittle software	Use an analogy to explain brittle software.
A resonance hybrid is like a mixed martial arts fighter. It is a combination of different techniques that make it strong and effective.	resonance hybrid	Use an analogy to explain resonance hybrid.
A wave mechanical model can be thought of as a ripple in a pond. Just as a ripple in a pond can be caused by a variety of things, such as a rock being thrown into the water or a breeze blowing across the surface, waves in matter can be caused by a variety of things, such as the movement of an electron or the vibration of a molecule. Just as the size, shape, and location of a ripple in a pond can be affected by the object that created it, the size, shape, and location of waves in matter can be affected by the object that created them.	wave mechanical model	Use an analogy to explain wave mechanical model.
An electroencephalogram is a lot like a car's engine. The engine's job is to turn the fuel (gasoline) into motion (the car moving). The electroencephalogram's job is to turn the electrical signals into motion (the brain thinking).	electroencephalogram	Use an analogy to explain electroencephalogram.
DNA replication is a bit like a photocopier. The DNA molecule is like a sheet of paper, and the individual genes are like the text on the paper. During replication, the DNA molecule is split in two, and each half is copied. The new copies are then joined together, so that the DNA molecule is once again whole.	dna replication	Use an analogy to explain dna replication.
RNA transcription is a bit like a photocopier. The DNA is like the original document and the RNA is like the photocopy. The RNA is a copy of the DNA, but it is also a different molecule.	rna transcription	Use an analogy to explain rna transcription.
Protein translation is a bit like a recipe. The recipe is the set of instructions for making a particular dish. The ingredients are the individual items that are needed to make the dish. The steps in the recipe are the individual instructions for putting the ingredients together.In the same way, the genetic code is the recipe for making a particular protein. The individual items needed to make the protein are the amino acids. The steps in the recipe are the individual instructions for putting the amino acids together.	protein translation	Use an analogy to explain protein translation.
An ecosystem is like a big city. The city has different parts that work together to make the city run. The same is true for an ecosystem. The different parts of the ecosystem work together to make the ecosystem run.	ecosystem	Use an analogy to explain ecosystem.
An action potential is like a wave that travels down a neuron. It starts at the neuron's cell body and travels down the axon to the end of the axon. This wave of electricity causes the release of neurotransmitters at the end of the axon, which then travel across the synaptic gap to the next neuron.	propagation of an action potential down a neuron	Use an analogy to explain propagation of an action potential down a neuron.
Breathing in frogs is similar to how humans breathe in. The frog inhales air through its nose and the air travels down its throat and into its lungs. Frogs use their ribs to help them breathe in and out.	breathing mechanism of frogs	Use an analogy to explain breathing mechanism of frogs.
A cake is a good analogy for layered architecture. The cake is made up of many layers, each of which is a different flavor. The cake is also topped with frosting, which is a different flavor than the cake layers. The cake is also decorated with sprinkles, which are a different flavor than the cake and frosting.	layered architecture	Use an analogy to explain layered architecture.
A cake recipe calls for 2 cups of sugar. If you only have 1 cup of sugar, you will only be able to make a half a cake. The sugar is the limiting reactant. If you have 3 cups of sugar, you will be able to make a whole cake. The sugar is the excess reactant.	limiting reactant and excess reactant	Use an analogy to explain limiting reactant and excess reactant.
A eukaryotic cell is like a city. The cell has a nucleus (the city hall), mitochondria (the power plants), and other organelles (the buildings). The cell also has DNA (the city's laws) and proteins (the city's workers).	eukaryotic cell	Use an analogy to explain eukaryotic cell.
A prokaryotic cell is like a small factory. It has all the equipment it needs to make proteins, DNA, and other molecules.	prokaryotic cell	Use an analogy to explain prokaryotic cell.
